Docente,2012,2013,2014,2015,2016
JORGE FERNANDO MOSCOSO FERNANDEZ SALVADOR,0,0,1,0,0
MARIA FERNANDA CORDERO FARFAN,0,0,0,1,0
MIRIAN SOFIA HUIRACOCHA TUTIVEN,4,0,0,0,0
LUZ MARIA SAMANIEGO LEON,0,0,1,0,0
VERONICA CRISTINA HERAS BARROS,1,0,0,0,0
DIANA LIGIA DE LOURDES ASTUDILLO NEIRA,1,1,0,0,0
DENISSE FABIOLA PEÑA TAPIA,0,0,1,0,0
VERONICA CAROLINA MORA LUNA,1,0,0,0,0
ENRIQUE ALFREDO ACOSTA ARIAS,0,0,1,0,0
KARINA PAOLA OJEDA ORELLANA,0,1,0,0,0
CARLOS VILLIE MOROCHO ZURITA,0,0,1,0,0
CARLOS EDUARDO AREVALO PELAEZ,0,1,0,0,0
ESTEBAN ALONSO PACHECO TOBAR,0,0,1,0,0
AUGUSTO PATRICIO SAMANIEGO SANCHEZ,0,0,1,0,0
PABLO FERNANDO VANEGAS PERALTA,0,0,1,0,0
DIEGO OSWALDO SAMANIEGO DUMAS,0,0,1,0,0
AURELIO ERNESTO CAÑIZARES AGUILAR,0,0,0,1,0
MARIA AUGUSTA ITURRALDE AGUILAR,0,0,1,0,0
GINA CATALINA BOJORQUE IÑEGUES,0,0,0,1,0
PAULINA GERMANIA VILLENA OCHOA,0,1,0,0,0
MARIA DANIELA CALLE CALLE,0,0,0,1,0
VICTOR HUGO SAQUICELA GALARZA,0,0,1,1,0
CARLOS SANTIAGO TORRES INGA,0,0,0,1,0
SERGIO VICENTE GUEVARA PACHECO,0,1,0,0,0
ANGEL JULVER PINO VELASQUEZ,0,0,1,0,0
GUIDO MARCELO PINOS ABAD,0,0,0,0,0
ANA LUCIA ASTUDILLO ALEMAN,1,1,0,1,0
ALEX MANUEL AVILES ANAZCO,1,0,0,0,0
ESTEBAN PATRICIO SAMANIEGO ALVARADO,0,0,1,0,0
GALO ALFREDO TORRES PALCHISACA,0,0,0,1,0
MARIO ERNESTO DONOSO CORREA,0,0,0,0,1
PABLO ENRIQUE OSORIO GUERRERO,0,0,0,1,0
LUIS MANUEL TIMBE CASTRO,0,0,0,0,0
FRANCISCO RENE ASTUDILLO LUCERO,0,0,1,0,0
JORGE MAURICIO ESPINOZA MEJIA,0,0,1,0,0
MARIA ELENA CAZAR RAMIREZ,0,0,1,0,0
GALO JOSE CARRILLO ROJAS,0,0,0,0,0
DANNY VINICIO OCHOA CORREA,0,0,1,0,0
MARIA FERNANDA CORDERO HERMIDA,0,0,0,1,0
JUAN DIEGO ARGUDO GUALLPA,0,0,0,1,0
VICENTE DIEGO LEON CORDOVA,0,0,0,0,1
DUNIA ELIZABETH ABAD CORONEL,0,1,0,0,0
JUANITA CATALINA ARGUDO SERRANO,1,0,0,1,0
LORENA ESPERANZA ENCALADA TORRES,0,0,0,0,0
